wine,winery,vintage_year,vintage_rating,vintage_rating_count,price_availability,structure_acidity,structure_intensity,structure_sweetness,structure_tannin,region,grapes
Margaux,Château Rauzan-Gassies,1993,3.9,33,72.0,4.5,4.0,1.0,4.5,margaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Estephe,Cos d'Estournel,2005,4.2,171,404.0,4.5,4.5,1.0,5.0,saint-estephe,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Authentique Côtes du Roussillon Rouge,Domaine Lafage,2023,3.9,70,8.85,4.0,4.0,1.0,4.0,cotes-du-roussillon,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Mercurey 1er Cru 'Les Naugues',Domaine François Raquillet,2019,4.0,25,36.0,4.0,2.0,1.0,2.0,mercurey-les-naugues,"[(14, 'pinot-noir')]"
Châteauneuf-du-Pape La Cuvée du Papet,Clos du Mont-Olivet,2016,4.2,138,69.5,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Saint-Émilion Grand Cru (Grand Cru Classé),Château Grand Corbin-Despagne,1983,3.8,40,58.0,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Quintessence de Peybonhomme Côtes de Blaye,Château Peybonhomme Les Tours,2021,3.9,33,19.25,4.0,4.0,1.0,4.0,blaye-cotes-de-bordeaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Blason d'Aussieres Languedoc,Barons de Rothschild (Lafite),2019,4.0,32,14.9,4.0,4.0,1.0,4.0,languedoc,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Vieilles Vignes Santenay,Lucien Muzard & Fils,2020,4.0,239,29.76,4.0,2.5,1.0,2.0,santenay,"[(14, 'pinot-noir')]"
Pomerol,Château La Fleur-Pétrus,1974,4.5,15089,395.0,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Beausejour (héritiers Duffau-Lagarrosse),1998,4.1,183,296.11,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pomerol,Château Fayat,2019,4.0,166,26.5,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Clos-Saint-Denis Grand Cru,Georges Lignier et Fils,2003,4.2,931,234.0,4.5,3.0,1.0,2.5,clos-saint-denis,"[(14, 'pinot-noir')]"
Cuvée Pierre de Cartier Bordeaux Supérieur,Château Couronneau,2020,3.9,331,30.69,4.0,4.0,1.0,4.0,bordeaux-superieur,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pauillac de Latour,Château Latour,2015,4.3,1380,112.5,4.5,4.5,1.0,5.0,pauillac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
(N) 45°30.506 (E) 6°04.451,Château de Merande - Domaine Genoux,2020,3.7,114,24.95,4.0,2.5,1.0,2.5,vin-de-savoie,"[(14, 'pinot-noir'), (80, 'gamay'), (1232, 'mondeuse-noire')]"
Nuits-Saint-Georges Premier Cru 'Aux Boudots',Pierre-Yves Colin-Morey,2022,4.5,109,157.56,4.5,3.0,1.0,2.5,nuits-saint-georges-aux-boudots,"[(14, 'pinot-noir')]"
Côte-Rôtie Classique,Clusel-Roch,2021,4.1,1864,100.79,4.0,4.5,1.0,4.5,cote-rotie,"[(1, 'shiraz-syrah'), (20, 'viognier')]"
Gigondas L'Argnee Vieilles Vignes,Famille Perrin,2016,4.1,75,50.49,3.5,4.0,1.0,3.5,gigondas,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Monopole Santenay 1er Cru 'Clos du Passetemps' Rouge,Domaine Fleurot Larose,2021,3.9,461,84.68,4.0,2.5,1.0,2.0,santenay-passetemps,"[(14, 'pinot-noir')]"
Regard Lirac,Domaine du Joncier,2019,3.8,92,15.9,3.5,4.0,1.0,3.5,lirac,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Lalande-de-Pomerol,Château le Manoir,2019,4.1,56,12.95,3.0,4.0,1.0,3.0,lalande-de-pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Vendanges Entières Sancerre Rouge,Vincent Pinard,2019,4.3,42,80.0,4.5,2.5,1.0,2.5,sancerre,"[(3, 'cabernet-franc'), (14, 'pinot-noir'), (80, 'gamay'), (404, 'grolleau')]"
Cuvée Rhéa,Château des Arras,2020,3.8,83,18.47,4.0,4.0,1.0,4.0,bordeaux-superieur,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pousse Cailloux,Romain Le Bars Vigneron,2022,3.8,312,20.0,3.5,3.0,1.0,4.0,vin-de-pays-vignobles-de-france,Unknown
Dames Huguettes Bourgogne Hautes-Côtes de Nuits,Jean-Philippe Marchand,2020,3.5,86,28.99,4.0,2.5,1.0,2.0,bourgogne-hautes-cotes-de-nuits,"[(14, 'pinot-noir')]"
Haut-Médoc,Château Ramage La Batisse,1989,3.8,6169,65.58,4.0,4.5,1.0,5.0,haut-medoc,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Haut-Médoc (Grand Cru Classé),Château Belgrave,2011,3.9,1302,43.75,4.0,4.5,1.0,5.0,haut-medoc,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pernand-Vergelesses 1er Cru 'Les Fichots',Pierre Marey & Fils,2006,4.0,109,55.0,4.0,2.5,1.0,2.0,pernand-vergelesses-les-fichots,"[(14, 'pinot-noir')]"
Cote d'Or Saint-Romain,Nuiton-Beaunoy,2022,3.8,47,17.15,4.0,2.5,1.0,2.0,saint-romain,"[(14, 'pinot-noir')]"
Saint-Emilion Grand Cru,Château Lafon La Tuilerie,2020,4.1,1051,51.56,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
L'affranchi,Agarrus,2021,3.8,109,13.9,3.5,3.0,1.0,4.0,vin-de-pays-vignobles-de-france,Unknown
Côtes-du-Rhône,Clefs des Legats,2022,3.4,651,6.99,3.5,4.0,1.0,3.5,cotes-du-rhone,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Pur Noir,Domaine du Tunnel,2021,4.5,125,186.99,3.5,5.0,1.0,3.5,cornas,"[(1, 'shiraz-syrah')]"
Listrac-Médoc,Château Fourcas Hosten,1987,3.8,8157,45.0,4.0,4.0,1.0,4.5,listrac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Lussac-Saint-Émilion,Château du Courlat,2020,3.7,2627,11.08,3.5,4.5,1.0,4.0,lussac-st-emilion,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Châteauneuf-du-Pape Vieilles Vignes,Domaine de la Janasse,2022,4.3,33,115.12,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
En Passant Rouge,Gayda,2019,3.6,288,9.25,4.0,4.0,1.0,4.0,vin-de-pays-doc,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Pomerol,Château La Fleur-Pétrus,2020,4.4,95,309.13,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pinot Noir,Eau de Souche,2020,4.0,34,50.0,3.5,3.0,1.0,4.0,vin-de-pays-vignobles-de-france,Unknown
Châteauneuf du Pape Rouge,Château Cabrières,2017,4.2,97,50.79,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Bordeaux,Château Haut Boutisse,2019,3.6,45,19.0,4.0,4.0,1.0,4.0,bordeaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Cuvee Pierre Blanche,Château Gressina,2020,3.7,138,25.0,4.0,4.0,1.0,4.0,blaye-cotes-de-bordeaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Bourgogne Hautes Côtes de Beaune Les Alouettes,Moillard,2018,3.6,164,47.81,4.0,2.5,1.0,2.0,hautes-cotes-de-beaune,"[(14, 'pinot-noir')]"
Corbières,Château de Lastours,1988,3.8,1574,39.0,4.0,4.0,1.0,4.0,corbieres,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Beaujolais-Villages Nouveau,Albert Bichot,2024,3.5,1374,16.16,4.5,1.0,1.0,1.0,beaujolais-villages,"[(80, 'gamay')]"
Elise,Domaine La Terrasse d'Elise,2022,4.0,726,25.0,4.0,4.0,1.0,4.0,languedoc,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Corton-Bressandes Grand Cru,Domaine Edmond Cornu & Fils,2017,4.3,25,108.93,4.0,2.5,1.0,2.0,corton-les-bressandes,"[(14, 'pinot-noir')]"
Château Les Songes Bordeaux,Bernard Magrez,2022,3.5,63,48.45,4.0,4.0,1.0,4.0,bordeaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Granit Rose Beaujolais Lantignié,Frédéric Berne,2023,3.9,387,17.73,5.0,1.0,1.0,1.5,beaujolais-lantignie,"[(80, 'gamay')]"
Chambolle-Musigny Vieilles Vignes,Henri & Philippe Jouan,2013,4.2,178,70.0,4.5,3.0,1.0,2.5,chambolle-musigny,"[(14, 'pinot-noir')]"
Chambertin Grand Cru,Domaine Jacques Prieur,2011,4.4,32,400.0,4.5,3.0,1.0,2.5,chambertin,"[(14, 'pinot-noir')]"
Gigondas Pierre Aiguille,Paul Jaboulet Aîné,2016,3.8,219,30.08,3.5,4.0,1.0,3.5,gigondas,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Léon & Séraphin,Matthieu Dumarcher,2022,3.8,27,15.25,3.5,3.0,1.0,4.0,vin-de-pays-vignobles-de-france,Unknown
Ma Cuvée Gevrey-Chambertin,Arnaud Mortet,2021,4.3,243,135.36,4.5,3.0,1.0,2.5,gevrey-chambertin,"[(14, 'pinot-noir')]"
Jour de Soif,Domaine du Bel Air,2023,3.8,49,14.9,4.0,3.5,1.5,4.0,bourgueil,"[(3, 'cabernet-franc')]"
P'tite Soif Rouge,Mas Laval,2024,3.8,113,7.5,3.0,3.0,1.5,3.0,vin-de-pays-de-mediterranee,Unknown
Réserve de Marcigoué Sancerre Rouge,François Crochet,2020,4.3,297,44.55,4.5,2.5,1.0,2.5,sancerre,"[(3, 'cabernet-franc'), (14, 'pinot-noir'), (80, 'gamay'), (404, 'grolleau')]"
Charmes-Chambertin,Dominique Laurent,2003,4.3,147,236.33,4.5,3.0,1.0,2.5,charmes-chambertin,"[(14, 'pinot-noir')]"
Les Côtes Saint-Joseph,Vincent Paris,2020,3.9,100,23.0,3.5,4.5,1.0,3.5,saint-joseph,"[(1, 'shiraz-syrah')]"
La Chapelle de Meyney Saint-Estèphe,Château Meyney,2020,4.0,2024,29.48,4.5,4.5,1.0,5.0,saint-estephe,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Délice du Prieuré Saint-Émilion Grand Cru,Château Le Prieuré,2020,4.1,48,22.5,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Le Bourg Saumur Champigny,Clos Rougeard,2016,4.5,34,392.87,4.0,3.5,1.5,4.0,saumur-champigny,"[(3, 'cabernet-franc')]"
Château Pérac Listrac-Médoc,Château Saransot-Dupré,2018,4.0,48,9.17,4.0,4.0,1.0,4.5,listrac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Princes de France Ventoux,Peloux,2014,3.2,80,16.4,3.5,4.0,1.0,3.5,cotes-du-ventoux,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Bordeaux,Château Rougi,2020,3.3,476,8.56,4.0,4.0,1.0,4.0,bordeaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Les Gallimardes Châteauneuf-du-Pape,Domaine Giraud,2023,4.2,570,46.0,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Amiral de Beychevelle Saint-Julien,Château Beychevelle,2007,3.9,320,37.97,4.5,4.0,1.0,4.5,saint-julien,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
La Cabanon dex Alexandrins Syrah,Domaine Les Alexandrins,2020,3.6,288,9.5,3.5,3.0,1.0,4.0,rhone,Unknown
Nuits-Saint-Georges Premier Cru Clos des Forets Saint-Georges,Domaine de l'Arlot,2011,4.2,327,170.67,4.5,3.0,1.0,2.5,nuits-saint-georges-premier-cru,"[(14, 'pinot-noir')]"
Les Tannes Tradition Red Blend CMS,Mas des Tannes,2023,3.0,33,6.45,3.5,3.0,1.0,4.0,vin-de-pays-vignobles-de-france,Unknown
Côte-Rôtie Brune & Blonde de Guigal,E. Guigal,1986,3.6,26,125.0,4.0,4.5,1.0,4.5,cote-rotie,"[(1, 'shiraz-syrah'), (20, 'viognier')]"
La Bégude des Papes Châteauneuf-du-Pape Rouge,Domaine Albin Jacumin,2020,4.1,187,37.55,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Première Note Syrah,Cave de Tain,2020,3.5,95,12.36,3.0,3.0,1.5,4.0,igp-collines-rhodaniennes,Unknown
Pinot Noir Bourgogne,Ropiteau Freres,2023,3.8,39,35.98,4.0,2.5,1.0,2.0,bourgogne,"[(14, 'pinot-noir')]"
Pomerol,Château Le Gay,2001,4.4,212,145.2,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Chai 45 Bordeaux Rouge,Château l'Insoumise,2020,3.5,246,8.0,4.0,4.0,1.0,4.0,bordeaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Bonnes Mares Grand Cru,Domaine Bart,2015,4.4,547,313.97,4.5,3.0,1.0,2.5,bonnes-mares,"[(14, 'pinot-noir')]"
La Demoiselle de Sociando-Mallet Haut-Médoc,Château Sociando-Mallet,2019,3.8,171,18.75,4.0,4.5,1.0,5.0,haut-medoc,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
La Rose de Labègorce Margaux,Château Labégorce,2018,3.9,628,62.92,4.5,4.0,1.0,4.5,margaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Châteauneuf-du-Pape Réserve Secrète,Domaine de la Solitude - Famille Lancon,2010,4.3,34,140.67,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Médoc,Château Tour Saint Bonnet,2006,3.3,98,22.22,4.5,4.5,1.0,5.0,medoc,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Morey-Saint-Denis,Domaine des Beaumont,2022,4.1,1013,63.0,4.5,3.0,1.0,2.5,morey-saint-denis,"[(14, 'pinot-noir')]"
Extrait Châteauneuf-du-Pape,Domaine Chante Cigale,2019,4.3,159,145.02,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Beaune 1er Cru 'Les Épenottes',Charles Pere & Fille,2012,4.0,178,44.2,4.0,2.5,1.0,2.0,beaune-les-epenotes,"[(14, 'pinot-noir')]"
Châteauneuf-du-Pape Vieilles Vignes,Domaine de la Janasse,1998,4.0,80,275.0,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Trezellières,Domaine des Closiers,2020,4.2,75,72.0,4.0,3.5,1.5,4.0,saumur-champigny,"[(3, 'cabernet-franc')]"
Pauillac (Grand Cru Classé),Château Grand-Puy-Lacoste,1979,4.2,61,132.5,4.5,4.5,1.0,5.0,pauillac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Julien,Château du Glana,2000,4.0,84,48.0,4.5,4.0,1.0,4.5,saint-julien,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Beaune 1er Cru Theurons,Domaine des Héritiers Louis Jadot,2019,4.1,28,46.17,4.0,2.5,1.0,2.0,beaune-premier-cru,"[(14, 'pinot-noir')]"
Les Poyeux Saumur Champigny,Clos Rougeard,2018,4.5,55,453.68,4.0,3.5,1.5,4.0,saumur-champigny,"[(3, 'cabernet-franc')]"
Bonnes-Mares Grand Cru,Olivier Bernstein,2016,4.4,197,458.28,4.5,3.0,1.0,2.5,bonnes-mares,"[(14, 'pinot-noir')]"
Cuvée Le Chapitre Suivant Bourgogne,René Bouvier,2020,3.8,2286,46.16,4.0,2.5,1.0,2.0,bourgogne,"[(14, 'pinot-noir')]"
Pomerol,Vieux Château Certan,1997,4.2,166,165.0,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
L'Envolée,Domaine Andrée,2019,3.9,150,49.68,3.5,3.0,1.0,4.0,loire-valley,Unknown
Clos Beatus Ille Côtes du Rhône,Domaine Saint Préfert,2022,4.0,110,28.14,3.5,4.0,1.0,3.5,cotes-du-rhone,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Clos de la Roche Grand Cru,Francois Feuillet,2020,4.2,142,279.3,4.5,3.0,1.0,2.5,clos-de-la-roche,"[(14, 'pinot-noir')]"
Les Sarres,Domaine la Grapp'A,2023,4.0,37,39.28,4.5,3.0,1.5,3.0,jura,"[(14, 'pinot-noir'), (174, 'trousseau'), (1374, 'poulsard')]"
Volnay 'Les Grands Poisots',Domaine de Bellène,2023,4.0,505,98.36,4.0,2.5,1.0,2.0,volnay,"[(14, 'pinot-noir')]"
La Marginale Saumur-Champigny,Domaine des Roches Neuves,2020,4.1,62,43.69,4.0,3.5,1.5,4.0,saumur-champigny,"[(3, 'cabernet-franc')]"
Clos du Cellier Aux Moines Givry 1er Cru,Joblot,2016,4.2,205,48.11,4.0,2.0,1.0,2.0,givry-cellier-aux-moines,"[(14, 'pinot-noir')]"
Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Cheval Blanc,1999,4.6,1362,566.75,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Divinus de Château Bonnet Bordeaux,Château Bonnet,1998,4.0,1115,39.0,4.0,4.0,1.0,4.0,entre-deux-mers,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Les Marcoeurs Mercurey,Les Champs de l'Abbaye,2021,3.9,209,43.76,4.0,2.0,1.0,2.0,mercurey,"[(14, 'pinot-noir')]"
Pessac-Léognan,Château Larrivet Haut-Brion,2013,4.0,792,53.4,4.5,4.5,1.0,5.0,pessac-leognan,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Amalgame,Domaine Jean-Baptiste Senat,2023,3.9,578,15.0,4.0,4.0,1.0,4.0,aude,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Pommard Premier Cru de 'Les Chaponnières',Parent,2018,4.2,418,121.12,4.0,2.5,1.0,2.0,les-chaponnieres,"[(14, 'pinot-noir')]"
Clos de Vougeot Grand Cru,Domaine Nicole Lamarche (François Lamarche),2016,4.3,36,232.37,4.5,3.0,1.0,2.5,clos-de-vougeot,"[(14, 'pinot-noir')]"
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild,2018,4.6,309,1200.0,4.5,4.5,1.0,5.0,pauillac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Vosne-Romanée,Domaine Coquard Loison-Fleurot,2023,4.2,1148,102.85,4.5,3.0,1.0,2.5,vosne-romanee,"[(14, 'pinot-noir')]"
Le Carillon d’Angélus Saint-Émilion Grand Cru,Château Angelus,2023,4.3,5080,122.22,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Nuits-Saint-Georges,Nuiton-Beaunoy,2018,4.2,33,88.32,4.5,3.0,1.0,2.5,nuits-saint-georges,"[(14, 'pinot-noir')]"
Clos de la Faille Pinot Noir,Albert Mann,2019,4.3,127,79.53,4.0,2.0,1.0,2.0,alsace,"[(14, 'pinot-noir')]"
Billes Noires Cornas,Domaine du Coulet - Matthieu Barret,2020,4.2,1338,84.83,3.5,5.0,1.0,3.5,cornas,"[(1, 'shiraz-syrah')]"
Vougeot 1er Cru 'Les Petits Vougeots',Domaine Christian Clerget,2020,4.2,475,95.0,4.5,3.0,1.0,2.5,vougeot-les-petits-vougeots,"[(14, 'pinot-noir')]"
Vosne-Romanée 1er Cru 'Les Rouges du Dessus',Lupé-Cholet,2009,4.3,45,112.39,4.5,3.0,1.0,2.5,vosne-romanee-les-rouges,"[(14, 'pinot-noir')]"
Moulis-en-Médoc,Château Poujeaux,1967,4.0,24831,98.0,4.0,4.5,1.0,5.0,moulis-en-medoc,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Les Vérillats Moulin-à-Vent,Château du Moulin-à-Vent,2021,3.9,32,44.96,5.0,1.0,1.0,1.5,moulin-a-vent,"[(80, 'gamay')]"
Les Galets Roulés Rouge,Château de Rey,2024,4.1,426,20.5,4.0,4.0,1.0,4.0,cotes-du-roussillon,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Les Amethystes Fleurie,Michel Guignier,2023,3.9,301,27.14,5.0,1.0,1.0,1.5,fleurie,"[(80, 'gamay')]"
Fronsac,Château Mayne-Vieil,1957,3.6,3664,125.0,3.0,4.0,1.0,3.0,fronsac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Cuvée La Côte Ronde Châteauneuf-du-Pape,Paul Autard,2000,3.7,50,51.56,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Vieille Vigne Gevrey-Chambertin Aux Échezeaux,Domaine Fourrier,2022,4.3,879,120.66,4.5,3.0,1.0,2.5,gevrey-chambertin,"[(14, 'pinot-noir')]"
Prestige Rouge,Château Vermont,2016,3.6,51,18.0,4.0,4.0,1.0,4.0,bordeaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Clos Venturi Chiesa Nera Rouge,Domaine Vico,2022,4.2,41,87.29,3.0,3.0,1.5,4.0,vin-de-corse,Unknown
Pomerol,Château Belle-Brise,2022,4.3,1060,176.44,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Santenay Premier Cru 'Clos des Mouches',David Moreau,2023,4.2,795,84.56,4.0,2.5,1.0,2.0,santenay-clos-des-mouches,"[(14, 'pinot-noir')]"
